Type,Series,Car,Axle,Position,Time,Mileage,tamian,zhijing
C70A,3,12,4477,4,193,85591,0.7,NA
C70A,3,12,201979,5,193,85591,0.7,NA
C70A,3,12,201979,6,193,85591,0.9,NA
C70A,3,12,14997,7,193,85591,1,NA
C70A,3,12,14997,8,193,85591,1,NA
C70A,3,12,14877,1,239,106130,1.1,819.5
C70A,3,12,14877,2,239,106130,0.9,819.1
C70A,3,12,4477,3,239,106130,1,818.4
C70A,3,12,4477,4,239,106130,0.4,817.6
C70A,3,12,201979,5,239,106130,0.5,821.1
C70A,3,12,201979,6,239,106130,0.9,820.1
C70A,3,12,14997,7,239,106130,1.6,820.8
C70A,3,12,14997,8,239,106130,1.2,820.9
C70A,4,13,21646,1,0,0,NA,837
C70A,4,13,21646,2,0,0,NA,837
C70A,4,13,21703,3,0,0,NA,832
C70A,4,13,21703,4,0,0,NA,832
C70A,4,13,78222,5,0,0,NA,839
C70A,4,13,78222,6,0,0,NA,838.5
C70A,4,13,33393,7,0,0,NA,840.5
C70A,4,13,33393,8,0,0,NA,840
C70A,4,13,21646,1,374,153125,3.4,834.6
C70A,4,13,21646,2,374,153125,3.1,834.4
C70A,4,13,21703,3,374,153125,2.7,829.3
C70A,4,13,21703,4,374,153125,2.2,829.3
C70A,4,13,78222,5,374,153125,3.3,837.1
C70A,4,13,78222,6,374,153125,4,835.3
C70A,4,13,33393,7,374,153125,2.3,838.7
C70A,4,13,33393,8,374,153125,3,836.4
C70A,4,13,21646,1,429,178601,3.4,NA
C70A,4,13,21646,2,429,178601,3.7,NA
C70A,4,13,21703,3,429,178601,3.4,NA
C70A,4,13,21703,4,429,178601,2.6,NA
C70A,4,13,78222,5,429,178601,3.3,NA
C70A,4,13,78222,6,429,178601,4.2,NA
C70A,4,13,33393,7,429,178601,2.1,NA
C70A,4,13,33393,8,429,178601,3.6,NA
C70A,4,13,21646,1,484,204963,3.9,832
C70A,4,13,21646,2,484,204963,4,832.2
C70A,4,13,21703,3,484,204963,3.9,825.2
C70A,4,13,21703,4,484,204963,3.1,827
C70A,4,13,78222,5,484,204963,3.4,835.2
C70A,4,13,78222,6,484,204963,4.8,832.9
C70A,4,13,33393,7,484,204963,2.5,836.2
C70A,4,13,33393,8,484,204963,3.9,833.6
C70A,4,14,13292,1,0,0,NA,841.4
C70A,4,14,13292,2,0,0,NA,841.3
C70A,4,14,31491,3,0,0,NA,841
C70A,4,14,31491,4,0,0,NA,841
C70A,4,14,39619,5,0,0,NA,840.4
C70A,4,14,39619,6,0,0,NA,840.3
C70A,4,14,36044,7,0,0,NA,841
C70A,4,14,36044,8,0,0,NA,841
C70A,4,14,13292,1,374,153125,1.9,839.7
C70A,4,14,13292,2,374,153125,2.3,838.8
C70A,4,14,31491,3,374,153125,2.1,839.2
C70A,4,14,31491,4,374,153125,2,838.9
C70A,4,14,39619,5,374,153125,2.3,838.7
C70A,4,14,39619,6,374,153125,3.3,836.2
C70A,4,14,36044,7,374,153125,2,838.5
C70A,4,14,36044,8,374,153125,2.3,838.3
C70A,4,14,13292,1,429,178601,2.1,NA
C70A,4,14,13292,2,429,178601,2.9,NA
C70A,4,14,31491,3,429,178601,2.8,NA
C70A,4,14,31491,4,429,178601,NA,NA
C70A,4,14,39619,5,429,178601,2.7,NA
C70A,4,14,39619,6,429,178601,4.2,NA
C70A,4,14,36044,7,429,178601,2.5,NA
C70A,4,14,36044,8,429,178601,2.8,NA
C70A,4,14,13292,1,484,204963,2.3,837.2
C70A,4,14,13292,2,484,204963,3.1,836
C70A,4,14,31491,3,484,204963,3.4,835.4
C70A,4,14,31491,4,484,204963,2.6,836.4
C70A,4,14,39619,5,484,204963,3.1,836
C70A,4,14,39619,6,484,204963,4.6,833.3
C70A,4,14,36044,7,484,204963,2.6,836.2
C70A,4,14,36044,8,484,204963,3,835.9
